id_profesor,dia,franja_inicio,franja_fin
Prof_15,sabado,76,82
Prof_15,miercoles,31,40
Prof_15,viernes,61,75
Prof_15,jueves,46,60
Prof_16,miercoles,31,45
Prof_16,martes,21,30
Prof_16,lunes,1,10
Prof_16,viernes,61,70
Prof_16,sabado,76,82
Prof_16,jueves,46,60
Prof_17,martes,21,30
Prof_17,lunes,1,10
Prof_17,sabado,76,82
Prof_17,miercoles,36,45
Prof_17,jueves,46,60
Prof_18,martes,21,30
Prof_18,lunes,1,10
Prof_18,miercoles,31,40
Prof_18,viernes,61,70
Prof_18,sabado,76,82
Prof_18,jueves,46,60
Prof_19,viernes,61,75
Prof_19,miercoles,31,40
Prof_19,sabado,76,82
Prof_19,lunes,6,15
Prof_19,jueves,46,60
Prof_20,martes,16,25
Prof_20,viernes,61,75
Prof_20,lunes,6,15
Prof_20,sabado,76,82
Prof_20,jueves,46,60
Prof_21,martes,16,25
Prof_21,sabado,76,82
Prof_21,miercoles,31,45
Prof_21,viernes,61,75
Prof_21,jueves,46,60
Prof_22,lunes,6,15
Prof_22,sabado,76,82
Prof_22,miercoles,31,40
Prof_22,viernes,66,75
Prof_22,jueves,46,60
Prof_23,sabado,76,82
Prof_23,miercoles,31,40
Prof_23,lunes,1,15
Prof_23,martes,21,30
Prof_23,viernes,61,75
Prof_23,jueves,46,60
Prof_24,martes,16,30
Prof_24,lunes,1,10
Prof_24,sabado,76,82
Prof_24,miercoles,31,40
Prof_24,jueves,46,60
Prof_25,miercoles,36,45
Prof_25,lunes,1,10
Prof_25,martes,16,30
Prof_25,sabado,76,82
Prof_25,viernes,66,75
Prof_25,jueves,46,60
Prof_26,miercoles,31,40
Prof_26,viernes,61,70
Prof_26,sabado,76,82
Prof_26,martes,21,30
Prof_26,lunes,1,15
Prof_26,jueves,46,60
Prof_27,miercoles,31,40
Prof_27,viernes,61,75
Prof_27,martes,16,30
Prof_27,sabado,76,82
Prof_27,lunes,1,15
Prof_27,jueves,46,60
Prof_28,sabado,76,82
Prof_28,miercoles,31,45
Prof_28,viernes,66,75
Prof_28,martes,16,25
Prof_28,jueves,46,60
Prof_29,martes,16,25
Prof_29,viernes,61,70
Prof_29,sabado,76,82
Prof_29,miercoles,31,45
Prof_29,lunes,6,15
Prof_29,jueves,46,60
Prof_30,lunes,6,15
Prof_30,miercoles,31,40
Prof_30,sabado,76,82
Prof_30,viernes,66,75
Prof_30,martes,16,25
Prof_30,jueves,46,60
Prof_31,viernes,61,70
Prof_31,sabado,76,82
Prof_31,lunes,6,15
Prof_31,martes,21,30
Prof_31,jueves,46,60
Prof_32,martes,16,30
Prof_32,lunes,1,15
Prof_32,miercoles,36,45
Prof_32,sabado,76,82
Prof_32,jueves,46,60
Prof_33,miercoles,31,45
Prof_33,martes,16,30
Prof_33,sabado,76,82
Prof_33,lunes,1,15
Prof_33,viernes,66,75
Prof_33,jueves,46,60
Prof_34,viernes,66,75
Prof_34,lunes,1,15
Prof_34,martes,16,30
Prof_34,miercoles,31,40
Prof_34,sabado,76,82
Prof_34,jueves,46,60
Prof_35,miercoles,31,45
Prof_35,viernes,61,70
Prof_35,martes,16,30
Prof_35,lunes,6,15
Prof_35,jueves,46,60
Prof_36,lunes,1,10
Prof_36,sabado,76,82
Prof_36,viernes,66,75
Prof_36,miercoles,31,40
Prof_36,martes,21,30
Prof_36,jueves,46,60
Prof_37,martes,16,30
Prof_37,sabado,76,82
Prof_37,viernes,66,75
Prof_37,lunes,1,15
Prof_37,jueves,46,60
Prof_38,viernes,66,75
Prof_38,lunes,1,10
Prof_38,miercoles,31,40
Prof_38,sabado,76,82
Prof_38,martes,21,30
Prof_38,jueves,46,60
Prof_39,sabado,76,82
Prof_39,lunes,6,15
Prof_39,miercoles,31,45
Prof_39,viernes,66,75
Prof_39,jueves,46,60
Prof_40,martes,16,25
Prof_40,viernes,61,75
Prof_40,sabado,76,82
Prof_40,lunes,1,10
Prof_40,jueves,46,60
Prof_41,miercoles,31,45
Prof_41,sabado,76,82
Prof_41,martes,21,30
Prof_41,viernes,66,75
Prof_41,jueves,46,60
Prof_42,miercoles,31,45
Prof_42,lunes,1,15
Prof_42,sabado,76,82
Prof_42,martes,21,30
Prof_42,jueves,46,60
Prof_43,lunes,1,15
Prof_43,sabado,76,82
Prof_43,miercoles,31,45
Prof_43,viernes,66,75
Prof_43,jueves,46,60
Prof_44,martes,21,30
Prof_44,sabado,76,82
Prof_44,miercoles,31,40
Prof_44,viernes,66,75
Prof_44,jueves,46,60
Prof_45,viernes,66,75
Prof_45,sabado,76,82
Prof_45,lunes,1,10
Prof_45,martes,16,30
Prof_45,miercoles,31,45
Prof_45,jueves,46,60
Prof_46,martes,16,30
Prof_46,sabado,76,82
Prof_46,lunes,6,15
Prof_46,miercoles,31,40
Prof_46,viernes,61,75
Prof_46,jueves,46,60
Prof_47,martes,21,30
Prof_47,viernes,61,70
Prof_47,miercoles,31,45
Prof_47,lunes,6,15
Prof_47,sabado,76,82
Prof_47,jueves,46,60
Prof_48,viernes,61,75
Prof_48,lunes,1,10
Prof_48,miercoles,36,45
Prof_48,sabado,76,82
Prof_48,jueves,46,60
Prof_49,martes,21,30
Prof_49,sabado,76,82
Prof_49,miercoles,31,40
Prof_49,viernes,61,75
Prof_49,lunes,6,15
Prof_49,jueves,46,60
Prof_50,miercoles,31,45
Prof_50,viernes,61,75
Prof_50,sabado,76,82
Prof_50,martes,21,30
Prof_50,lunes,6,15
Prof_50,jueves,46,60
